TransactionID,AccountID,Type,Category,Subcategory,Amount,Date,Status,InvoiceNumber,InvestmentID
T4710,1,Expense,Rent,Rent,69.9264,1/1/2023,Cancelled,NULL,NULL
T5061,1,Expense,Groceries,Groceries,296.3456,1/1/2023,Pending,NULL,NULL
T3865,2,Expense,Rent,Rent,1478.6176,1/1/2023,Cancelled,NULL,NULL
T5109,1,Expense,Food and Drink,Food and Drink,253.3568,2/1/2023,Completed,NULL,NULL
T1506,1,Income,Bonus,Bonus,6510.33,2/1/2023,Cancelled,NULL,NULL
T2296,1,Expense,Sending Money to Family,Sending Money to Family,1444.3008,2/1/2023,Cancelled,INV-5975,NULL
T5912,2,Expense,Utilities,Utilities,782.6112,2/1/2023,Completed,INV-5055,NULL
T3366,2,Expense,Entertainment,Spotify,544.48,3/1/2023,Completed,NULL,NULL
T5868,1,Expense,Food and Drink,Food and Drink,1577.648,3/1/2023,Cancelled,INV-6336,NULL
T5964,2,Expense,Restaurant,Restaurant,114.4192,4/1/2023,Cancelled,NULL,NULL
T5245,1,Income,Salary,Salary,6817.14,4/1/2023,Cancelled,NULL,NULL
T2959,2,Income,Freelance,Freelance,328.338,4/1/2023,Cancelled,NULL,NULL
T5453,2,Expense,Utilities,Utilities,584.0672,4/1/2023,Completed,NULL,NULL
T8763,1,Expense,Personal Care,Personal Care,357.6832,4/1/2023,Pending,INV-6216,NULL
T4366,2,Expense,Sending Money to Family,Sending Money to Family,828.8192,5/1/2023,Completed,NULL,NULL
T2513,2,Expense,Rent,Rent,2452.8384,5/1/2023,Cancelled,NULL,NULL
T4964,1,Income,Freelance,Freelance,5708.952,5/1/2023,Pending,NULL,NULL
T2486,1,Expense,Entertainment,Microsoft,298.5568,5/1/2023,Pending,NULL,NULL
T4753,1,Expense,Taxes,Taxes,1427.52,5/1/2023,Completed,INV-4788,NULL
T7541,1,Expense,Transport,Transport,255.1136,6/1/2023,Cancelled,NULL,NULL
T5712,2,Expense,Transport,Transport,1313.5072,6/1/2023,Completed,INV-8611,NULL
T5855,2,Expense,Restaurant,Restaurant,2673.184,6/1/2023,Pending,NULL,NULL
T7406,2,Expense,Taxes,Taxes,1192.2816,6/1/2023,Pending,INV-1915,NULL
T3342,2,Expense,Transport,Transport,449.3024,7/1/2023,Cancelled,NULL,NULL
T2098,2,Income,Bonus,Transfer In,1255.986,7/1/2023,Pending,NULL,NULL
T8678,1,Expense,Rent,Rent,1610.528,7/1/2023,Cancelled,NULL,NULL
T9620,2,Expense,Groceries,Groceries,1361.3472,7/1/2023,Completed,INV-1196,NULL
T5705,1,Income,Bonus,Bonus,2153.52,7/1/2023,Cancelled,NULL,NULL
T7097,1,Income,Salary,Salary,4718.772,8/1/2023,Completed,NULL,NULL
T2548,1,Income,Bonus,Bonus,8876.682,8/1/2023,Pending,NULL,NULL
T2817,1,Expense,Entertainment,Amazon,603.6576,8/1/2023,Completed,NULL,NULL
T7040,2,Expense,Rent,Rent,3048.0896,8/1/2023,Pending,NULL,NULL
T2665,1,Income,Freelance,Freelance,4322.448,8/1/2023,Pending,NULL,NULL
T2045,1,Expense,Groceries,Groceries,1438.32,8/1/2023,Cancelled,NULL,NULL
T4661,2,Expense,Transport,Transport,1206.816,8/1/2023,Cancelled,NULL,NULL
T1622,1,Expense,Utilities,Utilities,157.5648,9/1/2023,Pending,NULL,NULL
T4728,1,Expense,Rent,Rent,1776.3136,9/1/2023,Pending,NULL,NULL
T9364,2,Expense,Restaurant,Restaurant,474.2016,9/1/2023,Cancelled,NULL,NULL
T4499,2,Expense,Personal Care,Personal Care,560.3616,9/1/2023,Cancelled,INV-2359,NULL
T5707,1,Expense,Transport,Transport,762.6496,9/1/2023,Pending,NULL,NULL
T3657,1,Expense,Taxes,Taxes,1500.7488,10/1/2023,Completed,INV-3067,NULL
T7886,1,Expense,Personal Care,Personal Care,742.128,10/1/2023,Cancelled,INV-2424,NULL
T9250,2,Income,Salary,Salary,5480.568,10/1/2023,Cancelled,NULL,NULL
T6174,1,Expense,Entertainment,Microsoft,148.6272,10/1/2023,Pending,NULL,NULL
T3336,1,Expense,Personal Care,Personal Care,1453.584,10/1/2023,Cancelled,NULL,NULL
T2290,2,Expense,Restaurant,Restaurant,2367.4304,10/1/2023,Completed,NULL,NULL
T3441,2,Expense,Restaurant,Restaurant,2720.5504,10/1/2023,Pending,NULL,NULL
T8600,2,Expense,Restaurant,Restaurant,696.9152,10/1/2023,Pending,NULL,NULL
T8617,1,Expense,Utilities,Utilities,458.0032,11/1/2023,Cancelled,INV-2566,NULL
T6754,1,Expense,Food and Drink,Food and Drink,268.7168,12/1/2023,Completed,NULL,NULL
T2849,2,Expense,Transport,Transport,1253.0304,12/1/2023,Pending,NULL,NULL
T7200,2,Expense,Restaurant,Restaurant,1966.56,12/1/2023,Completed,NULL,NULL
T1997,1,Expense,Entertainment,Adobe,145.3266,13/01/2023,Cancelled,INV-6341,NULL
T3392,2,Expense,Restaurant,Restaurant,70.0776,13/01/2023,Pending,INV-2389,NULL
T7026,1,Expense,Utilities,Utilities,28.19124,13/01/2023,Cancelled,NULL,NULL
T5694,2,Expense,Taxes,Taxes,178.90344,13/01/2023,Pending,NULL,NULL
T6885,2,Expense,Food and Drink,Food and Drink,9.10152,14/01/2023,Cancelled,INV-6735,NULL
T3955,2,Expense,Sending Money to Family,Sending Money to Family,124.39944,14/01/2023,Pending,INV-7105,NULL
T4941,2,Income,Bonus,Bonus,7511.976,14/01/2023,Cancelled,NULL,NULL
T9684,1,Income,Bonus,Bonus,5508.81,14/01/2023,Pending,NULL,NULL
T8296,1,Expense,Transport,Transport,49.61232,15/01/2023,Completed,NULL,NULL
T3680,2,Income,Bonus,Bonus,4839.318,15/01/2023,Cancelled,NULL,NULL
T1902,2,Expense,Entertainment,Adobe,176.71356,15/01/2023,Completed,INV-1181,NULL
T8013,2,Expense,Transport,Transport,84.51072,15/01/2023,Pending,NULL,NULL
T9375,2,Expense,Utilities,Utilities,85.67928,15/01/2023,Pending,INV-1625,NULL
T6448,1,Income,Salary,Salary,5843.286,15/01/2023,Completed,NULL,NULL
T9553,1,Income,Salary,Salary,4736.988,15/01/2023,Cancelled,NULL,NULL
T9611,2,Income,Freelance,Freelance,8661.312,16/01/2023,Completed,NULL,NULL
T2988,1,Expense,Transport,Transport,109.92852,16/01/2023,Completed,NULL,NULL
T9275,1,Expense,Taxes,Taxes,74.99124,16/01/2023,Completed,INV-9746,NULL
T6292,1,Expense,Utilities,Utilities,116.09964,16/01/2023,Completed,NULL,NULL
T5620,1,Expense,Transport,Transport,86.26212,16/01/2023,Pending,NULL,NULL
T9412,1,Expense,Food and Drink,Food and Drink,110.52288,17/01/2023,Cancelled,NULL,NULL
T6423,2,Income,Freelance,Freelance,7456.104,17/01/2023,Pending,NULL,NULL
T8294,2,Expense,Personal Care,Personal Care,161.68824,17/01/2023,Pending,NULL,NULL
T5847,1,Expense,Sending Money to Family,Sending Money to Family,171.51084,17/01/2023,Completed,INV-7443,NULL
T3969,1,Expense,Restaurant,Restaurant,171.1656,17/01/2023,Cancelled,NULL,NULL
T4747,2,Expense,Rent,Rent,202.90392,18/01/2023,Completed,NULL,NULL
T8911,2,Expense,Taxes,Taxes,171.74844,18/01/2023,Cancelled,NULL,NULL
T1420,2,Expense,Restaurant,Restaurant,84.2904,18/01/2023,Cancelled,NULL,NULL
T6323,2,Income,Freelance,Freelance,391.626,19/01/2023,Pending,NULL,NULL
T2810,2,Expense,Groceries,Groceries,16.53516,19/01/2023,Cancelled,NULL,NULL
T5955,2,Expense,Transport,Transport,78.54768,20/01/2023,Completed,NULL,NULL
T7215,1,Expense,Utilities,Utilities,143.6166,20/01/2023,Completed,NULL,NULL
